effect,bri,watt
Morning,165,2.98
Morning,175,3.15
Morning,185,3.05
Morning,195,3.02
Morning,205,3.05
Morning,215,3.02
Morning,225,3.1
Morning,235,3
Morning,245,3.05
Morning,255,3.17
Mother's Day,5,3.27
Mother's Day,15,3.05
Mother's Day,25,3
Mother's Day,35,3.08
Mother's Day,45,3.02
Mother's Day,55,3.02
Mother's Day,65,2.9
Mother's Day,75,3.02
Mother's Day,85,2.92
Mother's Day,95,2.92
Mother's Day,105,2.88
Mother's Day,115,2.85
Mother's Day,125,2.85
Mother's Day,135,2.9
Mother's Day,145,2.88
Mother's Day,155,2.88
Mother's Day,165,2.88
Mother's Day,175,2.9
Mother's Day,185,2.82
Mother's Day,195,2.9
Mother's Day,205,2.83
Mother's Day,215,2.85
Mother's Day,225,2.85
Mother's Day,235,2.73
Mother's Day,245,2.85
Mother's Day,255,2.75
movie,5,3.85
movie,15,4.75
movie,25,5.58
movie,35,6.25
movie,45,7.1
movie,55,7.95
movie,65,8.85
movie,75,9.47
movie,85,10.3
movie,95,10.97
movie,105,11.75
movie,115,12.33
movie,125,13.2
movie,135,13.83
movie,145,14.7
movie,155,15.3
movie,165,16.1
movie,175,16.82
movie,185,17.4
movie,195,18.35
movie,205,19.08
movie,215,20.02
movie,225,20.62
movie,235,21.45
movie,245,22.27
movie,255,23.15
Movie,5,2.73
Movie,15,2.65
Movie,25,2.68
Movie,35,2.62
Movie,45,2.7
Movie,55,2.62
Movie,65,2.58
Movie,75,2.7
Movie,85,2.62
Movie,95,2.65
Movie,105,2.65
Movie,115,2.55
Movie,125,2.62
Movie,135,2.55
Movie,145,2.58
Movie,155,2.52
Movie,165,2.5
Movie,175,2.52
Movie,185,2.45
Movie,195,2.45
Movie,205,2.45
Movie,215,2.4
